customer_id,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,0,Yes,No,51,Yes,No,DSL,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,109.02,5560.02,No
CUST00001,Female,0,Yes,Yes,71,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,52.29,3712.59,No
CUST00002,Male,1,Yes,No,48,Yes,No phone service,DSL,No,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,111.39,5346.72,No
CUST00003,Male,0,No,Yes,19,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,No,Bank transfer,95.8,1820.2,No
CUST00004,Male,1,Yes,Yes,6,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,No internet service,One year,Yes,Credit card,60.08,360.48,No
CUST00005,Female,0,No,Yes,27,Yes,No,No,Yes,No internet service,No internet service,No,No,No internet service,One year,Yes,Credit card,53.15,1435.05,No
CUST00006,Male,0,No,No,53,Yes,No,No,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer,117.51,6228.03,No
CUST00007,Male,1,Yes,Yes,48,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Two year,Yes,Credit card,91.26,,No
CUST00008,Male,0,Yes,No,7,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card,57.88,405.16,Yes
CUST00009,Female,0,No,Yes,59,No,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,84.2,4967.8,No
CUST00010,Male,0,No,No,69,Yes,No phone service,No,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,77.15,5323.35,No
CUST00011,Male,1,Yes,Yes,11,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No,Yes,One year,Yes,Credit card,72.45,796.95,No
CUST00012,Male,1,Yes,No,15,Yes,No phone service,No,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,84.47,1267.05,No
CUST00013,Male,0,Yes,No,64,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer,73.76,4720.64,No
CUST00014,Female,0,No,No,3,No,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,One year,No,Credit card,85.48,256.44,No
CUST00015,Male,1,No,No,69,No,No,No,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,110.76,7642.44,No
CUST00016,Female,0,No,No,23,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,One year,Yes,Bank transfer,119.33,2744.59,No
CUST00017,Female,0,No,No,53,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No internet service,One year,Yes,Mailed check,90.93,4819.29,No
CUST00018,Female,1,No,Yes,37,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,No,Bank transfer,112.78,4172.86,Yes
CUST00019,Male,0,Yes,No,9,Yes,No,No,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,105.84,952.56,No
CUST00020,Female,0,Yes,No,15,Yes,No,Fiber optic,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,49.5,742.5,Yes
CUST00021,Male,0,No,No,3,Yes,No phone service,No,Yes,No,Yes,No internet service,No,No internet service,Two year,Yes,Electronic check,113.29,339.87,No
CUST00022,Female,1,No,Yes,70,No,Yes,No,No internet service,Yes,No,No internet service,Yes,No internet service,One year,No,Credit card,27.08,1895.6,No
CUST00023,Female,1,Yes,Yes,17,Yes,Yes,No,Yes,No internet service,No internet service,No,Yes,No,One year,No,Bank transfer,52.99,900.83,Yes
CUST00024,Female,1,Yes,Yes,26,Yes,No,No,Yes,No internet service,Yes,No,No,Yes,Month-to-month,No,Electronic check,83.99,2183.74,No
CUST00025,Female,0,Yes,No,21,No,Yes,No,No,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,72.69,1526.49,No
CUST00026,Female,1,Yes,Yes,21,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Electronic check,74.24,1559.04,No
CUST00027,Female,1,No,Yes,11,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,No,Mailed check,99.49,1094.39,Yes
CUST00028,Female,0,Yes,No,38,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Credit card,39.47,1499.86,Yes
CUST00029,Female,1,No,No,35,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,118.21,4137.35,Yes
CUST00030,Male,0,Yes,Yes,14,Yes,No,DSL,No,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,63.75,892.5,No
CUST00031,Male,0,Yes,No,14,No,No,DSL,,No internet service,Yes,No,No,No,Month-to-month,Yes,Credit card,114.98,1609.72,No
CUST00032,Female,0,Yes,No,10,No,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,58.31,583.1,Yes
CUST00033,Female,0,No,No,12,Yes,Yes,DSL,No,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,80.18,962.16,No
CUST00034,Female,0,No,No,38,Yes,No phone service,No,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,65.03,2471.14,No
CUST00035,Male,0,Yes,Yes,34,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card,87.59,2978.06,No
CUST00036,Female,0,No,No,41,No,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Credit card,38.36,1572.76,No
CUST00037,Male,0,No,Yes,10,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,60.06,600.6,No
CUST00038,Male,0,Yes,Yes,17,Yes,No,No,Yes,No internet service,No,No internet service,No,Yes,One year,No,Bank transfer,26.84,456.28,No
CUST00039,Male,0,Yes,Yes,17,Yes,Yes,No,,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Mailed check,79.81,1356.77,No
CUST00040,Male,0,No,Yes,67,Yes,Yes,No,No,Yes,Yes,No internet service,Yes,Yes,One year,No,Credit card,116.27,7790.09,Yes
